WID,ISLAND,YR_DRILLED,INIT_HEAD,INIT_HEAD2,INIT_HEAD3,Temp_F,Temp_C,GROUND_EL,WELL_DEPTH
6-4226-017,Maui,2002,2.2,,,72,22.22222222,52,59
8-4708-003,Hawaii,2002,27,,,67.5,19.72222222,1132,1300
6-4805-002,Maui,2002,460.16,,,68,20,731,435
6-4702-001,Maui,2002,0.9,,,69,20.55555556,299,312
8-7345-005,Hawaii,2002,8.73,,,72.1,22.27777778,400,547
6-4904-001,Maui,2002,0.37,,,65,18.33333333,162,180
2-5328-001,Kauai,2002,,,,,,,270
3-4157-012,Oahu,2002,,,,79.9,26.61111111,7,417
6-5620-006,Maui,2002,3.55,,,,,169,190
6-5514-006,Maui,2002,5.96,,,69.9,21.05555556,234,275
6-5514-007,Maui,2002,2.46,,,,,455,475
8-4959-019,Hawaii,2002,0.94,,,78,25.55555556,8,12
8-4859-003,Hawaii,2002,0.94,,,76.4,24.66666667,7,12
6-4803-001,Maui,2002,2.17,,,68,20,70,90
6-5620-005,Maui,2002,3.64,,,,,172,200
8-3155-003,Hawaii,2002,51.18,,,71.6,22,1155,1196
6-5517-003,Maui,2002,3.96,,,,,386,425
6-5617-001,Maui,2002,4.78,,,69,20.55555556,238,275
8-6734-003,Hawaii,2002,5.78,,,77.3,25.16666667,956,1005
2-1222-005,Kauai,2002,4,,,74.8,23.77777778,213,320
2-1123-001,Kauai,2001,,,,71.96,22.2,479,262
6-5523-001,Maui,2001,5.01,,,74,23.33333333,10,50
8-4757-003,Hawaii,2001,3.91,,,,,888,1000
6-5413-011,Maui,2001,,,,68,20,,454
8-4856-001,Hawaii,2001,5.39,,,70,21.11111111,934,985
4-0844-001,Molokai,2001,9.23,,,71.1,21.72222222,956,1015
6-5620-003,Maui,2001,3.94,,,70,21.11111111,190,210
2-0618-009,Kauai,2001,7,,,72,22.22222222,10,195
2-0618-010,Kauai,2001,7,,,73,22.77777778,10,195
6-5620-004,Maui,2001,2.06,,,,,132,158
6-5616-005,Maui,2001,5.98,,,69,20.55555556,202,227
6-5522-003,Maui,2001,2.69,,,,,47,63
6-4326-009,Maui,2001,1.58,,,,,64,95
6-4527-014,Maui,2001,1.69,,,74,23.33333333,9,86
6-5517-002,Maui,2001,6.15,,,69,20.55555556,534,558
8-6953-002,Hawaii,2001,1.53,,,,,148,155
3-2301-048,Oahu,2001,13,,,71.8,22.11111111,108,447
6-5616-006,Maui,2001,4.74,,,70,21.11111111,238,275
6-5514-005,Maui,2001,1.61,,,70,21.11111111,135,170
6-5129-002,Maui,2001,,,,73,22.77777778,224,255
6-5514-004,Maui,2001,1.78,,,69,20.55555556,269,290
6-4100-001,Maui,2001,1.41,,,67,19.44444444,166,182
2-1018-001,Kauai,2001,2.14,,,75.8,24.33333333,65,118
4-0546-002,Molokai,2001,3.5,,,71,21.66666667,386,434
3-1647-005,Oahu,2001,1.6,,,74,23.33333333,50,65
8-3957-004,Hawaii,2001,43.03,,,71.1,21.72222222,1445,1462
2-0521-003,Kauai,2001,,,,75.9,24.38888889,282,495
6-5320-002,Maui,2001,2.8,,4.03,67,19.44444444,978.7,1005
3-1805-014,Oahu,2001,0.8,,,76.82,24.9,12,300
6-4226-016,Maui,2001,0.23,,,70.5,21.38888889,129,155
8-5850-001,Hawaii,2001,2,,,70.3,21.27777778,7,17
3-1647-004,Oahu,2001,1.09,,,72.5,22.5,55,65
2-1222-004,Kauai,2001,4.7,,,73,22.77777778,299,422
2-0020-003,Kauai,2001,6.01,,,76.3,24.61111111,69,290
2-1221-008,Kauai,2001,4.53,,,73.9,23.27777778,289,485
2-1223-001,Kauai,2001,11.5,,,74,23.33333333,251,422
2-1120-034,Kauai,2001,11.5,,,72.3,22.38888889,295,495
6-5741-001,Maui,2000,1.16,,,73.94,23.3,34,60
6-4821-001,Maui,2000,2.5,,,68.9,20.5,1139.8,1200
8-6240-002,Hawaii,2000,1262.8,,,69.08,20.6,2970,2000
6-5939-002,Maui,2000,0.79,,,68.9,20.5,156,195
6-5414-002,Maui,2000,2.46,,,69,20.55555556,628,690
6-5731-004,Maui,2000,7.16,,,,,280,332
6-5840-003,Maui,2000,2.92,,,,,161,186
6-5220-001,Maui,2000,4.5,,,,,1101,1150
8-6853-001,Hawaii,2000,0.85,,,,,405,415
6-5514-002,Maui,2000,3.4,,,70,21.11111111,307,350
8-2987-001,Hawaii,2000,16.46,,,68,20,711,740
6-5418-002,Maui,2000,,,,68,20,679,760
3-2449-002,Oahu,2000,271.58,,,70,21.11111111,429,803
6-5137-001,Maui,2000,5.49,,,73,22.77777778,827,865
6-5313-002,Maui,2000,4.99,,,68,20,852,886
6-5425-003,Maui,2000,1.33,,,70,21.11111111,6,57
6-4822-001,Maui,2000,3.06,,,71,21.66666667,1075,1135
6-5108-002,Maui,2000,5.34,,,66,18.88888889,215,330
6-4327-007,Maui,2000,1.12,,,73.4,23,56,80
8-6528-003,Hawaii,2000,2.71,,,67.8,19.88888889,451,491
8-3156-001,Hawaii,2000,1.29,,,,,751,791
2-0918-002,Kauai,2000,4.31,,,72,22.22222222,128,290
8-3857-004,Hawaii,2000,59.56,,,70,21.11111111,1544,1752
3-3409-024,Oahu,2000,0.5,0.5,0.5,,,7.5,102
8-5347-001,Hawaii,1999,,,,86,30,1517,1548
8-4708-002,Hawaii,1999,,,,70.16,21.2,1134,1030
6-5614-001,Maui,1999,2,,,70.88,21.6,50,130
3-2301-047,Oahu,1999,17.1,,,71.24,21.8,134,273
6-5731-003,Maui,1999,7.41,,,64.94,18.3,642,687
2-1120-030,Kauai,1999,107.04,,,,,300,611
3-2001-012,Oahu,1999,,,,,,31,39
6-5731-002,Maui,1999,7.93,,,71,21.66666667,308,359
2-1019-008,Kauai,1999,72.01,,,,,198,345
6-5515-004,Maui,1999,5.67,,,68,20,377,485
6-4936-001,Maui,1999,4.79,,,71.06,21.7,205,230
8-4657-001,Hawaii,1999,5.8,,,71.06,21.7,1321,1421
6-5841-003,Maui,1999,1.11,,,78,25.55555556,34,50
3-1847-002,Oahu,1999,21.86,,,68.72,20.4,387,575
2-5841-001,Kauai,1999,7,,,73.94,23.3,100,201
3-3957-009,Oahu,1999,13.44,,,68.3,20.16666667,104,300
3-1901-005,Oahu,1999,1.43,,,77.9,25.5,33,43
6-3806-003,Maui,1999,2,,,,,,110
6-5417-001,Maui,1999,7.48,,,68,20,730,800
2-5841-002,Kauai,1999,7.9,,,,,149,267
3-2400-014,Oahu,1999,16.68,,,72.3,22.38888889,208,360
3-2003-008,Oahu,1999,1.43,,,,,51,70
6-4226-015,Maui,1999,3.72,,,70.88,21.6,77,105
6-5615-004,Maui,1999,3.31,,,70,21.11111111,229,300
6-5424-009,Maui,1999,2.11,,,75,23.88888889,28,50
6-5313-001,Maui,1999,3.59,,,66.4,19.11111111,846,901
8-6752-001,Hawaii,1999,1.5,,,79,26.11111111,162,169
8-5849-002,Hawaii,1999,2.85,,,,,147,165
8-5849-003,Hawaii,1999,,,,,,143,161
6-5131-001,Maui,1999,18.35,,,71,21.66666667,763,870
6-5616-004,Maui,1999,1.49,,,70,21.11111111,237,260
8-3489-001,Hawaii,1999,14.29,,,72,22.22222222,275,273
2-0919-006,Kauai,1999,8.6,,,74,23.33333333,79,336
